"rank","role","category","risk_score","risk_label","url","tasks_likely_to_change","safer_skills"
"1","Customer service agent","Operations","76","High change","https://willaitakemyjob.co.uk/will-ai-take-customer-service-agent-jobs/","FAQ answers; Ticket routing; Chat responses; Call summaries; Knowledge-base suggestions","Move into escalation; Learn support operations; Own help content; Build retention skills; Handle sensitive cases"
"2","Administrative assistant","Administration","74","High change","https://willaitakemyjob.co.uk/will-ai-take-admin-assistant-jobs/","Meeting notes; Scheduling; Document formatting; Inbox drafting; Travel plans","Become an operations coordinator; Own sensitive workflows; Use automation tools; Improve stakeholder handling; Manage processes"
"3","Copywriter","Creative","72","High change","https://willaitakemyjob.co.uk/will-ai-take-copywriter-jobs/","First drafts; Email variants; SEO outlines; Ad copy tests; Product descriptions","Own customer research; Learn analytics; Specialise by industry; Build outcome-led proof; Become an editor-strategist"
"4","Bookkeeper","Finance","70","High change","https://willaitakemyjob.co.uk/will-ai-take-bookkeeper-jobs/","Bank feeds; Invoice coding; Receipt capture; Reconciliations; Basic reports","Own exception review; Move into advisory; Master accounting software; Package monthly support; Learn tax basics"
"5","Translator","Language","68","Medium change","https://willaitakemyjob.co.uk/will-ai-take-translator-jobs/","First-pass translation; Glossary suggestions; Subtitles; Simple localisation; Terminology checks","Specialise deeply; Edit AI output; Own transcreation; Serve regulated sectors; Build quality assurance"
"6","Graphic designer","Creative","67","Medium change","https://willaitakemyjob.co.uk/will-ai-take-graphic-design-jobs/","Concept drafts; Social variants; Background removal; Simple layouts; Image generation","Sell brand systems; Learn AI image workflows; Move into art direction; Build campaign case studies; Package retainers"
"7","Paralegal","Legal","63","Medium change","https://willaitakemyjob.co.uk/will-ai-take-paralegal-jobs/","Document review; Legal research; Bundle preparation; Chronologies; Template letters","Master legal tech; Move into complex matters; Improve evidence handling; Build client skills; Learn compliance workflows"
"8","Recruiter","People","62","Medium change","https://willaitakemyjob.co.uk/will-ai-take-recruiter-jobs/","Candidate search; CV screening; Outreach drafts; Interview summaries; Pipeline reports","Build niche networks; Advise hiring managers; Use AI sourcing well; Improve candidate experience; Own salary intelligence"
"9","Retail assistant","Retail","61","Medium change","https://willaitakemyjob.co.uk/will-ai-take-retail-assistant-jobs/","Stock answers; Checkout automation; Product FAQs; Shift notes; Inventory prompts","Move into specialist sales; Improve product expertise; Use clienteling tools; Own merchandising; Develop supervisor skills"
"10","Accountant","Finance","58","Medium change","https://willaitakemyjob.co.uk/will-ai-take-accounting-jobs/","Invoice matching; Data entry; Variance notes; Basic reports; Reconciliation checks","Move into advisory; Use AI reconciliations; Specialise in tax; Improve client communication; Own controls"
